"Rock Club London", "Rock out with Rock Band karaoke."
"waterdancingmasterclasswithmiltosyerolemou","Just so. Learn the art of Water Dancing with Miltos Yerolemou - otherwise known as Syrio Forel from the first season of Game of Thrones. (You must already have booked a place in advance.)"
"80sdiscoallcheesedanceparty","Dance the night away to all those cheesy 80's tunes you'd ordinarily be ashamed to admit to loving - except amongst the geeks here at Nine Worlds!"
"cosplaypositivitymeetmingle","Are you a homesick Homestruck troll? A friendless Frank N Furter? Or just a social Spiderman? Whether you’re a nervous newbie (or would-bie) looking for a bit of encouragement, or a confident cosplayer looking to make friends with other people who like to dress up, this is the space for you! Come and grab a coffee or a snack and trade compliments, costume tips and the stories about the triumphs and frustrations that went into making your costumes for this weekend!"
"nineworldsnewbiesmeetup","New to Nine Worlds? Some folks find that meeting friendly faces can help them a whole lot in feeling secure and settled in. Join experienced con-goer and anxiety-wrangler, Emma Newman, for a relaxed cuppa and a chat in the ground-floor Bijou Bar: Friday and Saturday, 11.30am - 1.00pm. You can also chat with Emma on @EmApocalyptic. Looking forward to seeing you!"
"nineworldsfamiliesmeetup","We have a families' area set up in one corner of the main third floor Atrium: look for the space with the brightly coloured, squishy beanbags and toys. This is available as a drop-in area throughout the convention, and we'll also be running a dedicated meetup in the space at 9am every day."
"joinusatthebar","After all the films are over - join us in the bar!"
"kimcurran","This person is signing at the Forbidden Planet table, in Commonwealth West."
"edcoxbenedictjacka","These people are signing at the Forbidden Planet table, in Commonwealth West."
"paulcornellkategriffinnickharkaway","These people are signing at the Forbidden Planet table, in Commonwealth West."
"adriantchaikovskylaurenbeukesjenwilliams","These people are signing at the Forbidden Planet table, in Commonwealth West."
"jonwallacegavinsmithmarkalder","These people are signing at the Forbidden Planet table, in Commonwealth West."
"adamchristopherjohnconnollyjonathanlhoward","These people are signing at the Forbidden Planet table, in Commonwealth West."
"paulmcauleygarethpowellmarkcharannewton","These people are signing at the Forbidden Planet table, in Commonwealth West."
"elizabethbearscottlynch","These people are signing at the Forbidden Planet table, in Commonwealth West."
"denpatrickannacaltabianomichaeljward","These people are signing at the Forbidden Planet table, in Commonwealth West."
"johnhornorjacobsjoanneharriswillhill","These people are signing at the Forbidden Planet table, in Commonwealth West."
"sarahlotzfrancisknighttompollock","These people are signing at the Forbidden Planet table, in Commonwealth West."
"danielpolanskydanieware","These people are signing at the Forbidden Planet table, in Commonwealth West."
"gailcarrigerstephaniesaultermsuddain","These people are signing at the Forbidden Planet table, in Commonwealth West."
"gaieseboldrebeccaleveneianwhates","These people are signing at the Forbidden Planet table, in Commonwealth West."
"The Nine Worlds Photobooth","You’ll likely see our official photographer Jamie Drew all over the Con, making a valiant effort to capture as much of the fun and spirit of Nine Worlds as possible. If you see something particularly special that should be preserved for posterity, let Jamie know by Tweeting @dreadpiratedrew. We chose Jamie out of more than 40 people who wanted to be our official photographer. His photography is pretty special. If you’d like to get a cracking photo of yourself at Nine Worlds in Cosplay or not, with a group of friends or solo, rock up to the photobooth in the Atrium! After the event, you’ll be able to buy digital copies of your photos for £3 each."
"Writing Better Characters","Game stories often get the short end of the stick when people are working out where to spend their time, but starting off with strong characters can help get you through that. Our panel of writers are here to help you get strong, unique characters into your games and avoid the trap of falling back on tired old defaults."
"Sex Work and ASOIAF","Sex work is mentioned frequently in ASOIAF, but not all portrayals are good portrayals. We are joined by a panel of sex workers to give their opinions on the portrayals of sex work in the books."
"Pop-Up Market","Visit our Pop-Up Market in Commonwealth East between 3pm and 5pm on Saturday and Sunday! Featuring: Profound Decisions - Organisers of many of the UK's largest professional LARP events; Science Fiction Foundation - Society and advocate for writers, critics and academics of SF worldwide; BSFA - One of the largest and most respected associations of SF; Ruth Wheeler - Author of the comedy science fiction Truxxe series; Canvas and Paints - Video game paintings, also available for commission; Jenny Haines - Digital art, including classical takes on video games; Khaos Komix - Webcomic with distinctly LGBTQ themes."
"Harder, better, faster, stronger: The future of accessible neurohacking","Dr Andrew Vladimirov is an information security expert and DIY brain hacker. He has written on 'The future of accessible neurostimulation' in the recently published book 'Anticipating 2025: A guide to the radical changes that may lie ahead, whether or not we're ready'. In his talk, Andrew will discuss the current possibilities and future trends on the subject and will explore neurosocial networks, nootropics, recording & replaying brainwaves and much more."
"onlyamoment","A well-known game involving speaking for a minute without hesitation, deviation or repetition. Compered by Paul Cornell."
